Site,Transect,Easting,Northing,elevation,path width (m)
Craigmillar,1,328753,670968,87,6.2
Craigmillar,2,328702,670848,89,4
Craigmillar,3,328683,670795,87,2.5
Craigmillar,4,328652,670585,70,2.4
Craigmillar,5,328666,670552,75,2
Craigmillar,6,328668,670497,73,2
Craigmillar,7,328660,670466,70,2.1
Blackford,1,325990,670050,92,3
Blackford,2,325767,670082,95,2
Blackford,3,325685,670110,100,1.9
Blackford,4,325594,670118,104,0.9
Blackford,5,325514,670137,107,1.9
Blackford,6,325416,670162,109,0.9
Blackford,7,325352,670174,111,1.2
